,Unnamed: 0,random,session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,reviewed_at_datetime,entered_code,Nationality,Sex,Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,valence_condition,means_condition,material,variable,user_id,material.variable,response,sw_neg_ans1,sw_neg_ans2,sw_neg_ans3,sw_neg_ans4,sw_neg_ans5,sw_neg_ans6,sw_neg_ans7,sw_neg_ans8,sw_neg_ans9,sw_neg_ans10,sw_other,sw_pos_ans1,sw_pos_ans2,sw_pos_ans3,sw_pos_ans4,sw_pos_ans5,neg,pos,neither,goal_object,non_goal_object,controllable,uncontrollable,neither_control
20,2626,0.553253318-->0.661459598,5f5b8277edd1f72c084730d3,5efcd984f7176d0e6a59dd17,APPROVED,58:15.5,07:33.8,558.259,33,17:01.4,4DE9B385,United Kingdom,Female,59,"Sep 11, 2020 9:58:18 am","Sep 11, 2020 10:07:32 am",Complete,0,0,0,English,0,1599832698_5f5b827a850e54.39365824,positive,present,sally_wine,response,5efcd984f7176d0e6a59dd17,sally_wine.response,her neighbour breaks some bad news to her,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
21,2515,0.626360472-->0.246087158,5f5d2b5d52e4275680669a25,5f483cffdd72112f1e5ef612,APPROVED,11:30.3,30:08.2,1117.876,24,37:28.7,3833C7F5,United States,Female,59,"Sep 12, 2020 4:11:31 pm","Sep 12, 2020 4:30:05 pm",Complete,0,0,0,English,0,1599941491_5f5d2b73b86f70.59000072,negative,absent,sally_wine,response,5f483cffdd72112f1e5ef612,sally_wine.response,"The shop owner is actually Sally's neighbor, Sally argues that he should be in the shop right now instead of making people find another place to go.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
22,2591,0.553754972-->0.540041199,5f5b65a447e6d8290e0ec103,5edede6f7863ed18db5830b1,APPROVED,55:19.2,01:20.5,361.26,20,15:40.6,4DE9B385,United Kingdom,Male,17,"Sep 11, 2020 7:55:22 am","Sep 11, 2020 8:01:18 am",Complete,0,0,0,English,0,1599825321_5f5b65a9ec55e6.11300086,positive,present,sally_wine,response,5edede6f7863ed18db5830b1,sally_wine.response,No wine In the shop ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
23,2497,0.796340328-->0.393103264,5f5cf050fff4124ff943d364,5e5e7e81381c27000b1e9cba,APPROVED,59:18.2,06:39.6,441.39,32,10:32.7,3833C7F5,United Kingdom,Female,37,"Sep 12, 2020 11:59:22 am","Sep 12, 2020 12:06:36 pm",Complete,0,0,0,English,0,1599926361_5f5cf059e20770.28168041,negative,absent,sally_wine,response,5e5e7e81381c27000b1e9cba,sally_wine.response,She could not get her wine. ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
24,2506,0.551549658-->0.917380318,5f5cf0c76a1f025189b58a99,5ea33c4876aac42ade7bee42,APPROVED,01:13.7,09:47.8,514.147,39,10:51.1,3833C7F5,United Kingdom,Male,45,"Sep 12, 2020 12:01:15 pm","Sep 12, 2020 12:09:46 pm",Complete,0,0,0,English,0,1599926475_5f5cf0cb7bfa08.86950173,negative,absent,sally_wine,response,5ea33c4876aac42ade7bee42,sally_wine.response,Sally scratches her neighbour's car.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
25,2575,0.884987922-->0.7222921040000001,5f5b646bf7a8c729929e42cf,5f0f226b649b4d06a15e63b8,APPROVED,50:07.0,57:10.6,423.578,46,15:06.9,4DE9B385,United Kingdom,Female,4,"Sep 11, 2020 7:50:08 am","Sep 11, 2020 7:57:08 am",Complete,0,0,0,English,0,1599825008_5f5b6470cf2588.26848925,positive,present,sally_wine,response,5f0f226b649b4d06a15e63b8,sally_wine.response,She stepped in some dog poo.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
26,2560,0.182614921-->0.60509088,5f5b8fac54e29c2e62f93a6e,5ed7f8500e41402d24c455e7,APPROVED,54:45.0,25:02.2,1817.17,23,41:24.5,510FA8B2,United Kingdom,Female,42,"Sep 11, 2020 10:54:46 am","Sep 11, 2020 11:25:00 am",Complete,0,0,0,English,0,1599836086_5f5b8fb6b227f1.36925213,positive,absent,sally_wine,response,5ed7f8500e41402d24c455e7,sally_wine.response,She found out her neighbour was gay.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
27,2484,0.924605722-->0.520067484,5f5cef9f52e427506c38aea2,599180ed9d487e0001ac3b5a,APPROVED,57:13.8,15:45.1,1111.262,48,10:05.0,3833C7F5,United Kingdom,Male,30,"Sep 12, 2020 11:57:16 am","Sep 12, 2020 12:15:41 pm",Complete,0,0,0,English,0,1599926236_5f5cefdcc2c299.29718436,negative,absent,sally_wine,response,599180ed9d487e0001ac3b5a,sally_wine.response,The neighbour gives Sally a bottle of wine.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
28,2566,0.9986574220000001-->0.7123639709999999,5f5b8ff40b08972eeffed67c,5e540b9b25baaf40438073bb,APPROVED,55:59.1,40:56.3,2697.241,58,41:36.4,510FA8B2,United Kingdom,Female,55,"Sep 11, 2020 10:56:04 am","Sep 11, 2020 11:40:54 am",Complete,0,0,0,English,0,1599836163_5f5b9003d82e50.38804062,positive,absent,sally_wine,response,5e540b9b25baaf40438073bb,sally_wine.response,"The neighbour reminds Sally that as it's January she may like to consider a detox, so she decides to drink water with her meal instead.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
29,2542,0.133225751-->0.244155517,5f5b8ebadae8082ed20b93fb,5a0c4184fe645f0001e9f5dd,APPROVED,50:39.5,01:16.4,636.891,36,40:49.9,510FA8B2,United Kingdom,Female,29,"Sep 11, 2020 10:50:41 am","Sep 11, 2020 11:01:11 am",Complete,0,0,0,English,0,1599835841_5f5b8ec1b66b21.58174034,positive,absent,sally_wine,response,5a0c4184fe645f0001e9f5dd,sally_wine.response,There has been an accident that is why the shop was shut.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
