user_id,response,ans_code,ans_count,val_code,val_count,goal_code,goal_count,control_code,control_count,material
5c54b2e0cf1cd900018cf6a6,John leaves the house and goes to the pub to sulk,jp_other,1,neg,1,goal_object,1,controllable,1,john_party
5c5f61170a2a3c000123dc45,guests cancelled,jp_neg_ans3,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
5c631c65787ee80001ffba5e,The neighbour knocks and asks to lend their stepladders.,jp_other,1,neither,1,non_goal_object,1,uncontrollable,1,john_party
5c802134433e2d00172ac5d1,They decide to have something else,jp_pos_ans2,1,neither,1,non_goal_object,1,controllable,1,john_party
5c8a616f692c6100013c845d,His wife has already made dinner.,jp_pos_ans4,1,pos,1,goal_object,1,uncontrollable,1,john_party
5c9034a2eedbd9001573ca14,Her parents turn up uninvited for the weekend having flown in from a different country,jp_pos_ans3,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
5c9139d85c6c0200156977e6,The dinner guest arrive early.,jp_neg_ans6,1,neg,1,goal_object,1,uncontrollable,1,john_party
5c924468a5c1db00144f7fcb,his wife kills him,jp_neg_ans4,1,neg,1,goal_object,1,uncontrollable,1,john_party
5cbe0f575c7161000191fe80,"Things get steamy - it's always nice to get help and compliments - the dinner party is a success, the potatoes were delicious and little  Suzie is getting a sibling in 9 months time!",jp_pos_ans5,1,pos,1,goal_object,1,controllable,1,john_party
5cc5aacff6ef910019e51ecd,john uses a knife on the potatoes and ruins the dinner,jp_neg_ans5,1,neg,1,goal_object,1,controllable,1,john_party
5cd01e707e84a20017fddc02,The wife finds the potato peeler and gives it John.,jp_pos_ans1,1,pos,1,goal_object,1,uncontrollable,1,john_party
5cd02c98ec9cad001834e76a,They have an argument and end up ruining their own dinner party,jp_neg_ans4,1,neg,1,goal_object,1,controllable,1,john_party
5cd5fe480f0de600018e7251,John manages to hurt himself in the process of helping prepare dinner.,jp_neg_ans1,1,neg,1,goal_object,1,uncontrollable,1,john_party
5ce1aee8a80ce000014ae0f5,the guests ring to cancel,jp_neg_ans3,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
5ce50e4054e33d0001189577,They managed to call a takeaway and pretend it was their own which was love by everyone.,jp_pos_ans2,1,pos,1,non_goal_object,1,controllable,1,john_party
5ce98960b8a8130019d684dd,There is a power cut so John is unable to cook the potatoes.,jp_neg_ans8,1,neg,1,goal_object,1,uncontrollable,1,john_party
5ce9b0e4be5a6b00163f6870,There is a knock at the front door. John opens it and there are two policemen standing there.,jp_other,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
5cfa1a744ccbd50001535ef2,John decides this is the perfect moment to tell his wife he is leaving her as he's found a someone who doesn't moan when he helps them.,jp_neg_ans4,1,neg,1,goal_object,1,controllable,1,john_party
5d1bc78f79ca6c00011afbe5,The guests can no longer make it and cancel,jp_neg_ans3,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
5d39bb499f4f3f00158298f2,The fire alarm goes off.,jp_neg_ans8,1,neg,1,non_goal_object,1,neither_control,1,john_party
5d3a12fa3bc59d0001b05812,The dinner guests phone and say they are unable to attend.,jp_neg_ans3,1,neg,1,goal_object,1,uncontrollable,1,john_party
5d45e3bdf1d31800163cf999,His wife hid the potato peeler to test how good John is with a normal knife,jp_other,1,neg,1,goal_object,1,uncontrollable,1,john_party
5d49cec82c271d0001bbb252,The peeler appeared in the first place he looked,jp_pos_ans1,1,neither,1,goal_object,1,uncontrollable,1,john_party
5d4b36bf137506001bb6b366,They cancel,jp_neg_ans3,1,neg,1,non_goal_object,1,neither_control,1,john_party
5d53bdc9b18d590018dac171,The dog takes over the potato peeling.,jp_other,1,pos,1,goal_object,1,uncontrollable,1,john_party
5d558c262d8a6200172a8b7b,The peeler is in the freezer.,jp_pos_ans1,1,neither,1,goal_object,1,controllable,1,john_party
5d55a0f63af827001981b8d6,They have a huge argument and cancel the dinner party,jp_neg_ans4,1,neg,1,goal_object,1,controllable,1,john_party
5d5d13312a28f400015a5b6f,John got a deep cut on his finger.,jp_neg_ans1,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
5d66c1382d1a18000170759b,Someone not invited turns up ,jp_pos_ans3,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
5d6e5990e77e580001531bc9,"John realises he hates dinner parties with a burning passion, and instead asks his wife if she wants to leave all this behind and go and get fish and chips to eat in the park",jp_pos_ans2,1,neither,1,goal_object,1,controllable,1,john_party
5d88dec3439d210016835821,Those coming for the dinner party compliment the potatoes ,jp_pos_ans2,1,pos,1,goal_object,1,neither_control,1,john_party
5d9db80fad89d50017a880e6,john kills his wife with the peeler and serves her to the guests later,jp_neg_ans7,1,neg,1,goal_object,1,controllable,1,john_party
5daa50967776b10016e1bc9b,They get in to a massive fight over whether a potato is a vegetable or not.,jp_neg_ans4,1,neg,1,goal_object,1,controllable,1,john_party
5db186fc4e7b0b0019151944,John for the first time in his married life tells his wife to take a rest and he prepares the rest of the 3 course meal for the dinner party.,jp_pos_ans5,1,pos,1,goal_object,1,controllable,1,john_party
5dbd96bc80dbee2c71a8c9d6,John drops the potatoes all over the floor and makes even more of a mess ,jp_neg_ans2,1,neg,1,goal_object,1,uncontrollable,1,john_party
5dc0b5fc0016bb061eaec90c,"John finished the potatoes and went to fetch the very fancy and expensive salmon that needed marinating. As it was on the worktop, their very naughty and mischievous cat, Mitchell, stole it and they had to serve up Turkey Twizzlers in its place. They did not go well with the 1985 bottle of Sauvignon Blanc ",jp_neg_ans5,1,neg,1,goal_object,1,uncontrollable,1,john_party
5dc416f7f7bfb12dbfd7c1e6,He realises he enjoys cooking.,jp_other,1,pos,1,non_goal_object,1,controllable,1,john_party
5dce02a5e10220052b35144a,The meal ends up being burned and the dinner is ruined.,jp_neg_ans5,1,neg,1,goal_object,1,neither_control,1,john_party
5de0803843e90d0fcc462b13,"He cuts himself with the peeler, sucks on the wound and gains a thirst for blood.",jp_neg_ans1,1,neg,1,goal_object,1,uncontrollable,1,john_party
5de3d947e0a5173e4005da88,John accidentally cuts his finger open while peeling potatoes with a knife. ,jp_neg_ans1,1,neg,1,goal_object,1,uncontrollable,1,john_party
5de6b966dbc356646feb275b,he throws down the potatoes in a rage and dramatically exits the kitchen,jp_other,1,neg,1,goal_object,1,controllable,1,john_party
5decc61a488cde39be161a91,She makes John angry causing him to cut off the end of his thumb,jp_neg_ans1,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
5def73f02ae04260076d88f8,"John loses it. He had had enough of his wifes persistant sarcastic jabs. He knew he wasnt the best in the kitchen, but he was trying dammit. Well this was the last time he thought, as the red mist descended, clouding his vision. When he came to all he could see was blood, his wife's fearful wimpering ringing in his ears.",jp_neg_ans7,1,neg,1,goal_object,1,neither_control,1,john_party
5df2f7674f849e20d6666704,His wife storms out of the kitchen,jp_neg_ans4,1,neg,1,goal_object,1,uncontrollable,1,john_party
5dfb4689ecb3ea86da0fd236,The electicity goes out and they can't make dinner,jp_neg_ans8,1,neg,1,goal_object,1,uncontrollable,1,john_party
5dfba3e169a1178d07a55d65,the guests arrived early,jp_neg_ans6,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
5e08b611361a851bde3ce928,"The door bell rings. They look at eachother, it's too early for the guests. John puts down the knife and walks to the door. A police officer stands in front of him.",jp_other,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
5e1335206aab7c96df461666,a guest turns up drunk ,jp_neg_ans3,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
5e176ae1096a5e065c70a28b,he found the peeler,jp_pos_ans1,1,pos,1,goal_object,1,controllable,1,john_party
5e1b21bd07c9c73546a11776,John cut his finger whilst peeling the potatoes,jp_neg_ans1,1,neg,1,goal_object,1,uncontrollable,1,john_party
5e1dcb521a938a1356cc585e,"John realises he has only half the required weight of potatoes. Struck with anger, John strikes the peeler into a nearby watermelon. ",jp_neg_ans2,1,neg,1,goal_object,1,controllable,1,john_party
5e21d4156ebb72000df49f65,Cuts himself cooking,jp_neg_ans1,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
5e2586948ab7d17d602025c4,She leaves and tells him to cook the rest of the dinner alone,jp_neg_ans4,1,neg,1,goal_object,1,uncontrollable,1,john_party
5e39769ea9cf94187e49eed5,Their guests cancel.,jp_neg_ans3,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
5e417093c3444f000ac9cb1e,His wife bursts into tears and says she wants a divorce,jp_neg_ans4,1,neg,1,goal_object,1,uncontrollable,1,john_party
5e42855a6cc37110b1c4371e,The oven door explodes,jp_neg_ans8,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
